 ◦ 2022년 학교안전사고 발생건수(사고당시활동),,,,,,,,,,,,,,,,,,,
(단위 : 건),,,,,,,,,,,,,,,,,,,
지역,"학교
급별",구기운동,,보행/주행,,기타*,,장난/놀이,,기타운동,,식사/수면/휴식,,공부,,실험실습,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
광주,기타,6,54.50%,3,27.30%,1,9.10%,  ,0.00%,  ,0.00%,  ,0.00%,1,9.10%,  ,0.00%,11,100.00%
광주,소계,"1,840",41.90%,762,17.30%,596,13.60%,610,13.90%,263,6.00%,184,4.20%,81,1.80%,59,1.30%,"4,395",100.00%
대전,유,5,1.10%,46,10.10%,139,30.50%,193,42.40%,10,2.20%,41,9.00%,19,4.20%,2,0.40%,455,100.00%
대전,초,406,31.50%,281,21.80%,179,13.90%,193,15.00%,106,8.20%,62,4.80%,46,3.60%,16,1.20%,"1,289",100.00%
대전,중,848,53.80%,174,11.00%,257,16.30%,112,7.10%,103,6.50%,35,2.20%,11,0.70%,36,2.30%,"1,576",100.00%
대전,고,580,57.50%,118,11.70%,147,14.60%,32,3.20%,67,6.60%,23,2.30%,7,0.70%,35,3.50%,"1,009",100.00%
대전,특수,  ,0.00%,5,20.80%,5,20.80%,3,12.50%,2,8.30%,5,20.80%,3,12.50%,1,4.20%,24,100.00%
대전,기타,14,35.90%,8,20.50%,4,10.30%,5,12.80%,3,7.70%,  ,0.00%,1,2.60%,4,10.30%,39,100.00%
대전,소계,"1,853",42.20%,632,14.40%,731,16.60%,538,12.20%,291,6.60%,166,3.80%,87,2.00%,94,2.10%,"4,392",100.00%
울산,유,4,2.10%,22,11.70%,57,30.30%,73,38.80%,4,2.10%,19,10.10%,9,4.80%,  ,0.00%,188,100.00%
울산,초,427,25.80%,372,22.50%,229,13.80%,343,20.70%,107,6.50%,113,6.80%,42,2.50%,23,1.40%,"1,656",100.00%
울산,중,719,50.80%,181,12.80%,182,12.90%,181,12.80%,87,6.10%,42,3.00%,14,1.00%,10,0.70%,"1,416",100.00%
울산,고,392,52.70%,89,12.00%,110,14.80%,31,4.20%,57,7.70%,24,3.20%,10,1.30%,31,4.20%,744,100.00%
울산,특수,1,5.00%,7,35.00%,4,20.00%,1,5.00%,1,5.00%,2,10.00%,2,10.00%,2,10.00%,20,100.00%
울산,기타,  ,0.00%,  ,0.00%,1,50.00%,1,50.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,2,100.00%
울산,소계,"1,543",38.30%,671,16.70%,583,14.50%,630,15.60%,256,6.40%,200,5.00%,77,1.90%,66,1.60%,"4,026",100.00%
