 ◦ 2021년 학교안전사고 발생현황(시간),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,(단위 : 건),
지역,"학교
급별",체육수업,,점심시간,,수업시간,,휴식/청소,,등하교,,특별활동,,기타,,학교행사,,기숙사생활,,석식시간,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
인천,유,85,11.40%,59,7.90%,360,48.40%,60,8.10%,43,5.80%,  ,0.00%,121,16.30%,16,2.20%,  ,0.00%,  ,0.00%,744,100.00%
인천,초,387,36.80%,183,17.40%,164,15.60%,124,11.80%,101,9.60%,34,3.20%,44,4.20%,16,1.50%,  ,0.00%,  ,0.00%,"1,053",100.00%
인천,중,583,50.40%,204,17.60%,63,5.40%,105,9.10%,48,4.20%,90,7.80%,23,2.00%,40,3.50%,  ,0.00%,  ,0.00%,"1,156",100.00%
인천,고,445,44.20%,189,18.80%,71,7.10%,89,8.80%,29,2.90%,88,8.70%,15,1.50%,49,4.90%,17,1.70%,15,1.50%,"1,007",100.00%
인천,특수,5,16.10%,3,9.70%,6,19.40%,5,16.10%,7,22.60%,  ,0.00%,5,16.10%,  ,0.00%,  ,0.00%,  ,0.00%,31,100.00%
인천,기타,16,25.40%,12,19.00%,6,9.50%,11,17.50%,5,7.90%,5,7.90%,3,4.80%,4,6.30%,1,1.60%,  ,0.00%,63,100.00%
인천,소계,"1,521",37.50%,650,16.00%,670,16.50%,394,9.70%,233,5.70%,217,5.40%,211,5.20%,125,3.10%,18,0.40%,15,0.40%,"4,054",100.00%
광주,유,38,10.00%,25,6.60%,177,46.50%,34,8.90%,18,4.70%,  ,0.00%,83,21.80%,6,1.60%,  ,0.00%,  ,0.00%,381,100.00%
광주,초,367,37.80%,179,18.50%,162,16.70%,109,11.20%,97,10.00%,17,1.80%,25,2.60%,14,1.40%,  ,0.00%,  ,0.00%,970,100.00%
광주,중,607,49.80%,195,16.00%,62,5.10%,161,13.20%,48,3.90%,81,6.70%,26,2.10%,38,3.10%,  ,0.00%,  ,0.00%,"1,218",100.00%
광주,고,253,40.60%,101,16.20%,52,8.30%,67,10.80%,29,4.70%,50,8.00%,10,1.60%,37,5.90%,3,0.50%,21,3.40%,623,100.00%
광주,특수,  ,0.00%,2,18.20%,2,18.20%,4,36.40%,  ,0.00%,  ,0.00%,2,18.20%,1,9.10%,  ,0.00%,  ,0.00%,11,100.00%
광주,기타,1,14.30%,4,57.10%,1,14.30%,1,14.30%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,7,100.00%
광주,소계,"1,266",39.40%,506,15.80%,456,14.20%,376,11.70%,192,6.00%,148,4.60%,146,4.50%,96,3.00%,3,0.10%,21,0.70%,"3,210",100.00%
대전,유,38,8.30%,31,6.80%,216,47.30%,35,7.70%,26,5.70%,  ,0.00%,98,21.40%,13,2.80%,  ,0.00%,  ,0.00%,457,100.00%
대전,초,270,38.50%,95,13.60%,141,20.10%,63,9.00%,74,10.60%,27,3.90%,26,3.70%,5,0.70%,  ,0.00%,  ,0.00%,701,100.00%
대전,중,589,55.80%,122,11.60%,85,8.10%,75,7.10%,29,2.70%,105,10.00%,18,1.70%,31,2.90%,1,0.10%,  ,0.00%,"1,055",100.00%
대전,고,325,47.90%,99,14.60%,45,6.60%,58,8.60%,26,3.80%,55,8.10%,17,2.50%,33,4.90%,2,0.30%,18,2.70%,678,100.00%
대전,특수,2,11.10%,  ,0.00%,8,44.40%,2,11.10%,4,22.20%,  ,0.00%,2,11.10%,  ,0.00%,  ,0.00%,  ,0.00%,18,100.00%
대전,기타,3,11.10%,3,11.10%,4,14.80%,2,7.40%,5,18.50%,3,11.10%,  ,0.00%,4,14.80%,3,11.10%,  ,0.00%,27,100.00%
대전,소계,"1,227",41.80%,350,11.90%,499,17.00%,235,8.00%,164,5.60%,190,6.50%,161,5.50%,86,2.90%,6,0.20%,18,0.60%,"2,936",100.00%
