 ◦ 2021년 학교안전사고 발생현황(부위),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,(단위 : 건),
지역,"학교
급별",손,,발,,머리(두부),,복합부위*,,다리,,팔,,치아(구강),,기타*,,흉복부,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
인천,고,239,23.70%,373,37.00%,85,8.40%,89,8.80%,99,9.80%,58,5.80%,16,1.60%,29,2.90%,19,1.90%,"1,007",100.00%
인천,특수,4,12.90%,15,48.40%,3,9.70%,4,12.90%,1,3.20%,2,6.50%,  ,0.00%,2,6.50%,  ,0.00%,31,100.00%
인천,기타,21,33.30%,22,34.90%,6,9.50%,4,6.30%,7,11.10%,  ,0.00%,  ,0.00%,3,4.80%,  ,0.00%,63,100.00%
인천,소계,"1,011",24.90%,"1,061",26.20%,711,17.50%,381,9.40%,292,7.20%,239,5.90%,165,4.10%,126,3.10%,68,1.70%,"4,054",100.00%
광주,유,50,13.10%,50,13.10%,146,38.30%,20,5.20%,5,1.30%,28,7.30%,54,14.20%,25,6.60%,3,0.80%,381,100.00%
광주,초,221,22.80%,275,28.40%,165,17.00%,153,15.80%,51,5.30%,39,4.00%,34,3.50%,23,2.40%,9,0.90%,970,100.00%
광주,중,399,32.80%,368,30.20%,115,9.40%,126,10.30%,93,7.60%,66,5.40%,13,1.10%,20,1.60%,18,1.50%,"1,218",100.00%
광주,고,157,25.20%,219,35.20%,40,6.40%,73,11.70%,68,10.90%,39,6.30%,8,1.30%,12,1.90%,7,1.10%,623,100.00%
광주,특수,1,9.10%,3,27.30%,4,36.40%,2,18.20%,  ,0.00%,1,9.10%,  ,0.00%,  ,0.00%,  ,0.00%,11,100.00%
광주,기타,1,14.30%,3,42.90%,  ,0.00%,1,14.30%,1,14.30%,1,14.30%,  ,0.00%,  ,0.00%,  ,0.00%,7,100.00%
광주,소계,829,25.80%,918,28.60%,470,14.60%,375,11.70%,218,6.80%,174,5.40%,109,3.40%,80,2.50%,37,1.20%,"3,210",100.00%
대전,유,57,12.50%,41,9.00%,181,39.60%,43,9.40%,13,2.80%,43,9.40%,45,9.80%,31,6.80%,3,0.70%,457,100.00%
대전,초,184,26.20%,197,28.10%,118,16.80%,72,10.30%,50,7.10%,36,5.10%,26,3.70%,11,1.60%,7,1.00%,701,100.00%
대전,중,401,38.00%,288,27.30%,82,7.80%,91,8.60%,92,8.70%,59,5.60%,10,0.90%,21,2.00%,11,1.00%,"1,055",100.00%
대전,고,153,22.60%,225,33.20%,65,9.60%,79,11.70%,84,12.40%,25,3.70%,12,1.80%,19,2.80%,16,2.40%,678,100.00%
대전,특수,2,11.10%,1,5.60%,5,27.80%,2,11.10%,1,5.60%,1,5.60%,5,27.80%,  ,0.00%,1,5.60%,18,100.00%
대전,기타,6,22.20%,4,14.80%,4,14.80%,2,7.40%,4,14.80%,5,18.50%,2,7.40%,  ,0.00%,  ,0.00%,27,100.00%
대전,소계,803,27.40%,756,25.70%,455,15.50%,289,9.80%,244,8.30%,169,5.80%,100,3.40%,82,2.80%,38,1.30%,"2,936",100.00%
울산,유,42,17.50%,31,12.90%,82,34.20%,22,9.20%,9,3.80%,16,6.70%,18,7.50%,16,6.70%,4,1.70%,240,100.00%
울산,초,247,25.50%,267,27.50%,140,14.40%,122,12.60%,70,7.20%,51,5.30%,34,3.50%,28,2.90%,11,1.10%,970,100.00%
울산,중,283,30.70%,247,26.80%,112,12.10%,99,10.70%,78,8.50%,53,5.70%,12,1.30%,19,2.10%,19,2.10%,922,100.00%
울산,고,115,24.50%,167,35.60%,41,8.70%,60,12.80%,53,11.30%,13,2.80%,7,1.50%,4,0.90%,9,1.90%,469,100.00%
