 ◦ 2020년 학교안전사고 발생현황(장소),,,,,,,,,,,,,
,,,,,,,,,,,,(단위 : 건),
지역,"학교
급별",부속시설,,운동장,,교실,,통로,,교외활동,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
울산,기타,  ,  ,  ,  ,  ,  ,  ,  ,  ,,  ,  
울산,소계,550,36.90%,437,29.30%,248,16.60%,203,13.60%,54,3.60%,"1,492",100.00%
세종,유,56,28.00%,22,11.00%,89,44.50%,30,15.00%,3,1.50%,200,100.00%
세종,초,83,40.10%,45,21.70%,32,15.50%,40,19.30%,7,3.40%,207,100.00%
세종,중,84,45.70%,44,23.90%,29,15.80%,25,13.60%,2,1.10%,184,100.00%
세종,고,50,57.50%,11,12.60%,14,16.10%,11,12.60%,1,1.10%,87,100.00%
세종,특수,1,33.30%,  ,  ,2,66.70%,  ,  ,  ,  ,3,100.00%
세종,기타,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
세종,소계,274,40.20%,122,17.90%,166,24.40%,106,15.60%,13,1.90%,681,100.00%
경기,유,228,17.60%,185,14.20%,762,58.70%,99,7.60%,25,1.90%,"1,299",100.00%
경기,초,576,30.50%,418,22.10%,433,22.90%,421,22.30%,42,2.20%,"1,890",100.00%
경기,중,805,32.40%,884,35.60%,311,12.50%,403,16.20%,78,3.10%,"2,481",100.00%
경기,고,"1,076",41.20%,775,29.70%,320,12.20%,343,13.10%,99,3.80%,"2,613",100.00%
경기,특수,7,14.00%,7,14.00%,25,50.00%,9,18.00%,2,4.00%,50,100.00%
경기,기타,17,48.60%,9,25.70%,4,11.40%,5,14.30%,  ,  ,35,100.00%
경기,소계,"2,709",32.40%,"2,278",27.20%,"1,855",22.20%,"1,280",15.30%,246,2.90%,"8,368",100.00%
강원,유,31,16.50%,50,26.60%,87,46.30%,16,8.50%,4,2.10%,188,100.00%
강원,초,252,36.50%,204,29.60%,108,15.70%,96,13.90%,30,4.30%,690,100.00%
강원,중,255,36.30%,277,39.50%,89,12.70%,61,8.70%,20,2.80%,702,100.00%
강원,고,168,35.00%,186,38.80%,55,11.50%,42,8.80%,29,6.00%,480,100.00%
강원,특수,4,25.00%,1,6.30%,8,50.00%,3,18.80%,  ,  ,16,100.00%
강원,기타,1,100.00%,  ,  ,  ,  ,  ,  ,  ,  ,1,100.00%
